StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q26,Q25,Q2,Q24,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q26_1,Q26_2,Q26_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,My participation number is:,I was given this letter by the experimenter:,What age category are you in?,Gender,Please rate how much you agree with these statements - I was happy when NAO succeeded in describing the pictures,Please rate how much you agree with these statements - It is a shame that NAO didn't manage to describe all pictures correctly,Please rate how much you agree with these statements - I would feel sorry for NAO if this project got terminated,Please rate how much you agree with these statements - I would feel proud if NAO got better at describing pictures after this session.,Please rate how much you agree with these statements - Some parts of what NAO was saying made me feel sorry for NAO,Please rate how much you agree with these statements - Some things that NAO was saying made me feel hopeful for NAO,Please rate your impression of the robot on these scales,Please rate your impression of the robot on these scales,Please rate your impression of the robot on these scales,Please rate your impression of the robot on these scales,Please rate your impression of the robot on these scales,animacy,Please rate your impression of the robot on these scales,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your impression of the robot on these scales - 1,Please rate your experience of the simulation - I was able to understand everything NAO was saying,Please rate your experience of the simulation - I could see NAO clearily,Please rate your experience of the simulation - I could see the pictures clearily
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID2""}","{""ImportId"":""QID24""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}"
2022-01-13 05:03:08,2022-01-13 05:30:06,0,213.93.236.104,100,1618,1,2022-01-13 05:30:06,R_UYqh2uzuADwrLa1,,,,,51.8199005126953125,5.8715057373046875,anonymous,EN,4,1,2,3,4,2,4,4,4,3,3,2,3,2,1,3,2,3,2,4,5,5,5,5,5,4,4,4,3,3,4,4,2
2022-01-13 05:51:32,2022-01-13 05:56:12,0,213.93.236.104,100,280,1,2022-01-13 05:56:13,R_2YDhpg23XaClgVX,,,,,51.8199005126953125,5.8715057373046875,anonymous,EN,1,2,2,1,4,4,3,5,2,2,1,2,2,2,2,2,2,3,3,2,3,4,3,4,4,3,3,3,3,3,4,3,4
2022-01-14 02:24:45,2022-01-14 02:57:35,0,213.93.236.104,100,1969,1,2022-01-14 02:57:35,R_UcH1Fy9DjmBqlgZ,,,,,51.8199005126953125,5.8715057373046875,anonymous,EN,3,1,2,2,4,2,1,2,1,1,2,2,4,2,2,2,3,3,3,4,4,5,4,4,5,4,5,3,4,4,5,5,5
2022-01-14 09:44:36,2022-01-14 09:47:20,0,145.107.19.53,100,164,1,2022-01-14 09:47:21,R_1M5GGDPSYwvIl7p,,,,,51.7285003662109375,5.8849029541015625,qr,EN,8,2,2,2,4,2,1,4,4,4,2,2,1,2,1,2,2,2,3,3,5,5,5,4,5,2,2,3,2,2,4,5,5
2022-01-14 10:02:21,2022-01-14 10:04:47,0,77.63.120.174,100,145,1,2022-01-14 10:04:47,R_DcMO5ppZFQCJ0pH,,,,,52.3533935546875,4.9087066650390625,qr,EN,,1,2,1,4,2,2,4,3,4,4,3,2,3,3,4,4,4,2,3,5,4,5,4,4,5,4,3,5,4,4,3,3
2022-01-15 03:40:16,2022-01-15 03:44:28,0,213.124.183.232,100,252,1,2022-01-15 03:44:28,R_2QRmf3oECFlTMSk,,,,,51.8513031005859375,5.863800048828125,qr,EN,5,1,3,2,5,2,5,3,1,3,2,2,2,2,3,,1,2,3,3,3,4,4,3,4,3,3,3,3,3,4,5,4
2022-01-15 04:22:27,2022-01-15 04:25:43,0,213.124.183.232,100,195,1,2022-01-15 04:25:43,R_3QTYMS7d8bjzXq1,,,,,51.8513031005859375,5.863800048828125,anonymous,EN,6B,1,2,2,4,2,4,5,4,3,3,2,4,4,1,3,2,2,4,3,5,4,5,4,4,4,3,3,4,4,4,5,5
2022-01-15 07:49:30,2022-01-15 07:54:31,0,84.85.66.244,100,301,1,2022-01-15 07:54:31,R_2rJCINGuibbJeYb,,,,,51.566497802734375,5.0789031982421875,anonymous,EN,2,2,3,1,5,,4,5,,5,3,3,4,3,3,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5
